"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-09","23.04",",,W",,,"0.74",",,W,2400","8.3",",,W,2400","1.2",",,W,2400","35","H,,S","44",",,W","19",",,W","  310",",,W","  300",",,W","38.0",",,W","48.1",",,W","    1",",,W",,,,,"    1",",,W",,,,,"    1",",,W","    1",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-10","16.11",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","7.9",",,W,2400","24","H,,S","31",",,W","20",",,W","  270",",,W","  270",",,W","23.9",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-11","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.9",",,W,2400","37","H,,S","45",",,W","30",",,W","  210",",,W","  210",",,W","16.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-12","10.74",",,W",,,"0.40",",,W,2400","0.1",",,W,2400","5.1",",,W,2400","36","H,,S","37",",,W","32",",,W","   60",",,W","  330",",,W","21.0",",,W","23.9",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-13","25.72",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","3.9",",,W,2400","37","H,,S","39",",,W","31",",,W","  300",",,W","  300",",,W","44.1",",,W","62.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-14","11.41",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","3.1",",,W,2400","33","H,,S","38",",,W","28",",,W","  310",",,W","  330",",,W","21.0",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-15","10.74",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","2.0",",,W,2400","38","H,,S","46",",,W","31",",,W","  300",",,W","  310",",,W","30.0",",,W","38.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-16","22.15",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","35","H,,S","39",",,W","29",",,W","  320",",,W","  330",",,W","30.0",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-17","14.54",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","33","H,,S","44",",,W","27",",,W","  320",",,W","  320",",,W","25.9",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-18","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","41","H,,S","53",",,W","30",",,W","  220",",,W","  220",",,W","15.0",",,W","19.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-19","11.41",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","55","H,,S","68",",,W","46",",,W","  290",",,W","  300",",,W","23.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-20","13.20",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","52","H,,S","56",",,W","38",",,W","   40",",,W","   40",",,W","21.9",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-21","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","45",",,W","31",",,W","  210",",,W",,,"12.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-22","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","44","H,,S","51",",,W","39",",,W","  170",",,W",,,"10.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-23","5.37",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","45","H,,S","57",",,W","38",",,W","  200",",,W","  200",",,W","16.1",",,W","19.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-24","11.18",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","52","H,,S","62",",,W","45",",,W","  180",",,W","  180",",,W","25.9",",,W","33.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-25","11.86",",,W",,,"0.34",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","53","H,,S","63",",,W","47",",,W","  320",",,W","  290",",,W","28.0",",,W","36.9",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2017-02-26","18.57",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","44","H,,S","47",",,W","37",",,W","  310",",,W","  300",",,W","29.1",",,W","38.0",",,W",,,,,,,,,,,,,,,,
